 epoch,error
         226 ,   6.46651387E-02
         227 ,   6.45178407E-02
         228 ,   6.43715188E-02
         229 ,   6.42261580E-02
         230 ,   6.40816689E-02
         231 ,   6.39382228E-02
         232 ,   6.37957081E-02
         233 ,   6.36540875E-02
         234 ,   6.35134429E-02
         235 ,   6.33736625E-02
         236 ,   6.32348433E-02
         237 ,   6.30968213E-02
         238 ,   6.29596785E-02
         239 ,   6.28234521E-02
         240 ,   6.26880378E-02
         241 ,   6.25535548E-02
         242 ,   6.24198206E-02
         243 ,   6.22869767E-02
         244 ,   6.21550009E-02
         245 ,   6.20238297E-02
         246 ,   6.18933849E-02
         247 ,   6.17637746E-02
         248 ,   6.16349652E-02
         249 ,   6.15069717E-02
         250 ,   6.13796785E-02
         251 ,   6.12531677E-02
         252 ,   6.11275099E-02
         253 ,   6.10025302E-02
         254 ,   6.08783476E-02
         255 ,   6.07548505E-02
         256 ,   6.06320649E-02
         257 ,   6.05100431E-02
         258 ,   6.03888035E-02
         259 ,   6.02681674E-02
         260 ,   6.01482801E-02
         261 ,   6.00290559E-02
         262 ,   5.99105768E-02
         263 ,   5.97928017E-02
         264 ,   5.96756302E-02
         265 ,   5.95591702E-02
         266 ,   5.94433285E-02
         267 ,   5.93282059E-02
         268 ,   5.92137314E-02
         269 ,   5.90998456E-02
         270 ,   5.89866415E-02
         271 ,   5.88740632E-02
         272 ,   5.87621070E-02
         273 ,   5.86507805E-02
         274 ,   5.85401282E-02
         275 ,   5.84299862E-02
         276 ,   5.83204962E-02
         277 ,   5.82116060E-02
         278 ,   5.81033193E-02
         279 ,   5.79956397E-02
         280 ,   5.78884929E-02
         281 ,   5.77819273E-02
         282 ,   5.76759838E-02
         283 ,   5.75705767E-02
         284 ,   5.74657284E-02
         285 ,   5.73614202E-02
         286 ,   5.72576299E-02
         287 ,   5.71545511E-02
         288 ,   5.70519157E-02
         289 ,   5.69498055E-02
         290 ,   5.68482056E-02
         291 ,   5.67472167E-02
         292 ,   5.66466749E-02
         293 ,   5.65467142E-02
         294 ,   5.64472862E-02
         295 ,   5.63482940E-02
         296 ,   5.62498681E-02
         297 ,   5.61519079E-02
         298 ,   5.60544953E-02
         299 ,   5.59575260E-02
         300 ,   5.58610745E-02
         301 ,   5.57651296E-02
         302 ,   5.56695871E-02
         303 ,   5.55746108E-02
         304 ,   5.54800406E-02
         305 ,   5.53859547E-02
         306 ,   5.52923605E-02
         307 ,   5.51992990E-02
         308 ,   5.51066101E-02
         309 ,   5.50143756E-02
         310 ,   5.49226105E-02
         311 ,   5.48313186E-02
         312 ,   5.47404476E-02
         313 ,   5.46499975E-02
         314 ,   5.45600168E-02
         315 ,   5.44704050E-02
         316 ,   5.43813035E-02
         317 ,   5.42925969E-02
         318 ,   5.42043000E-02
         319 ,   5.41164801E-02
         320 ,   5.40289916E-02
         321 ,   5.39419875E-02
         322 ,   5.38554043E-02
         323 ,   5.37691452E-02
         324 ,   5.36833443E-02
         325 ,   5.35979606E-02
         326 ,   5.35129569E-02
         327 ,   5.34283258E-02
         328 ,   5.33441640E-02
         329 ,   5.32602742E-02
         330 ,   5.31768836E-02
         331 ,   5.30938096E-02
         332 ,   5.30111343E-02
         333 ,   5.29288501E-02
         334 ,   5.28468825E-02
         335 ,   5.27653843E-02
         336 ,   5.26841432E-02
         337 ,   5.26033789E-02
         338 ,   5.25228977E-02
         339 ,   5.24428263E-02
         340 ,   5.23630790E-02
         341 ,   5.22837155E-02
         342 ,   5.22046834E-02
         343 ,   5.21259829E-02
         344 ,   5.20476587E-02
         345 ,   5.19696400E-02
         346 ,   5.18920459E-02
         347 ,   5.18147945E-02
         348 ,   5.17377742E-02
         349 ,   5.16611710E-02
         350 ,   5.15848808E-02
         351 ,   5.15088663E-02
         352 ,   5.14332764E-02
         353 ,   5.13579659E-02
         354 ,   5.12829684E-02
         355 ,   5.12082949E-02
         356 ,   5.11339381E-02
         357 ,   5.10599017E-02
         358 ,   5.09862229E-02
         359 ,   5.09127975E-02
         360 ,   5.08397408E-02
         361 ,   5.07669300E-02
         362 ,   5.06944135E-02
         363 ,   5.06222658E-02
         364 ,   5.05504198E-02
         365 ,   5.04787900E-02
         366 ,   5.04075252E-02
         367 ,   5.03365584E-02
         368 ,   5.02659008E-02
         369 ,   5.01954630E-02
         370 ,   5.01254089E-02
         371 ,   5.00555448E-02
         372 ,   4.99860644E-02
         373 ,   4.99167740E-02
         374 ,   4.98478189E-02
         375 ,   4.97791506E-02
         376 ,   4.97106761E-02
         377 ,   4.96425591E-02
         378 ,   4.95747551E-02
         379 ,   4.95071113E-02
         380 ,   4.94398549E-02
         381 ,   4.93728071E-02
         382 ,   4.93059754E-02
         383 ,   4.92394902E-02
         384 ,   4.91732620E-02
         385 ,   4.91072349E-02
         386 ,   4.90415320E-02
         387 ,   4.89760488E-02
         388 ,   4.89108115E-02
         389 ,   4.88458946E-02
         390 ,   4.87811230E-02
         391 ,   4.87167276E-02
         392 ,   4.86524776E-02
         393 ,   4.85885590E-02
         394 ,   4.85248640E-02
         395 ,   4.84613553E-02
         396 ,   4.83981781E-02
         397 ,   4.83351871E-02
         398 ,   4.82724234E-02
         399 ,   4.82099541E-02
         400 ,   4.81476858E-02
         401 ,   4.80856784E-02
         402 ,   4.80238758E-02
         403 ,   4.79622893E-02
         404 ,   4.79009822E-02
         405 ,   4.78399061E-02
         406 ,   4.77790684E-02
         407 ,   4.77183871E-02
         408 ,   4.76579778E-02
         409 ,   4.75978069E-02
         410 ,   4.75378074E-02
         411 ,   4.74781245E-02
         412 ,   4.74185720E-02
         413 ,   4.73592989E-02
         414 ,   4.73002270E-02
         415 ,   4.72413301E-02
         416 ,   4.71826419E-02
         417 ,   4.71242331E-02
         418 ,   4.70660366E-02
         419 ,   4.70080487E-02
         420 ,   4.69501987E-02
         421 ,   4.68925610E-02
         422 ,   4.68351766E-02
