 epoch,error
           1 ,  0.998489618    
           2 ,  0.976578534    
           3 ,  0.956947148    
           4 ,  0.939154983    
           5 ,  0.922708273    
           6 ,  0.907204747    
           7 ,  0.892367542    
           8 ,  0.878023505    
           9 ,  0.864070415    
          10 ,  0.850450695    
          11 ,  0.837133050    
          12 ,  0.824101925    
          13 ,  0.811350226    
          14 ,  0.798876166    
          15 ,  0.786679626    
          16 ,  0.774762154    
          17 ,  0.763125002    
          18 ,  0.751769245    
          19 ,  0.740695059    
          20 ,  0.729901791    
          21 ,  0.719388008    
          22 ,  0.709151268    
          23 ,  0.699188113    
          24 ,  0.689494789    
          25 ,  0.680066168    
          26 ,  0.670897305    
          27 ,  0.661982238    
          28 ,  0.653314829    
          29 ,  0.644888759    
          30 ,  0.636697292    
          31 ,  0.628733516    
          32 ,  0.620990694    
          33 ,  0.613461912    
          34 ,  0.606140316    
          35 ,  0.599019110    
          36 ,  0.592091501    
          37 ,  0.585351110    
          38 ,  0.578791320    
          39 ,  0.572405934    
          40 ,  0.566188931    
          41 ,  0.560134232    
          42 ,  0.554236352    
          43 ,  0.548489511    
          44 ,  0.542888463    
          45 ,  0.537428021    
          46 ,  0.532103360    
          47 ,  0.526909411    
          48 ,  0.521841824    
          49 ,  0.516896129    
          50 ,  0.512068033    
          51 ,  0.507353485    
          52 ,  0.502748609    
          53 ,  0.498249531    
          54 ,  0.493852854    
          55 ,  0.489554942    
          56 ,  0.485352606    
          57 ,  0.481242537    
          58 ,  0.477221817    
          59 ,  0.473287374    
          60 ,  0.469436496    
          61 ,  0.465666503    
          62 ,  0.461974829    
          63 ,  0.458358884    
          64 ,  0.454816312    
          65 ,  0.451344997    
          66 ,  0.447942525    
          67 ,  0.444606870    
          68 ,  0.441336125    
          69 ,  0.438128144    
          70 ,  0.434981138    
          71 ,  0.431893438    
          72 ,  0.428863019    
          73 ,  0.425888479    
          74 ,  0.422968119    
          75 ,  0.420100451    
          76 ,  0.417283833    
          77 ,  0.414517015    
          78 ,  0.411798596    
          79 ,  0.409127116    
          80 ,  0.406501502    
          81 ,  0.403920382    
          82 ,  0.401382565    
          83 ,  0.398886979    
          84 ,  0.396432519    
          85 ,  0.394018024    
          86 ,  0.391642451    
          87 ,  0.389304996    
          88 ,  0.387004465    
          89 ,  0.384740204    
          90 ,  0.382511109    
          91 ,  0.380316317    
          92 ,  0.378154993    
          93 ,  0.376026392    
          94 ,  0.373929709    
          95 ,  0.371864229    
          96 ,  0.369829148    
          97 ,  0.367823750    
          98 ,  0.365847409    
          99 ,  0.363899291    
         100 ,  0.361979038    
         101 ,  0.360085785    
         102 ,  0.358218998    
         103 ,  0.356378078    
         104 ,  0.354562551    
         105 ,  0.352771699    
         106 ,  0.351005077    
         107 ,  0.349262178    
         108 ,  0.347542435    
         109 ,  0.345845401    
         110 ,  0.344170600    
         111 ,  0.342517525    
         112 ,  0.340885788    
         113 ,  0.339274973    
         114 ,  0.337684482    
         115 ,  0.336114049    
         116 ,  0.334563226    
         117 ,  0.333031654    
         118 ,  0.331518948    
         119 ,  0.330024719    
         120 ,  0.328548580    
         121 ,  0.327090204    
         122 ,  0.325649291    
         123 ,  0.324225366    
         124 ,  0.322818339    
         125 ,  0.321427763    
         126 ,  0.320053309    
         127 ,  0.318694592    
         128 ,  0.317351580    
         129 ,  0.316023767    
         130 ,  0.314710915    
         131 ,  0.313412756    
         132 ,  0.312129170    
         133 ,  0.310859680    
         134 ,  0.309604168    
         135 ,  0.308362305    
         136 ,  0.307133973    
         137 ,  0.305918843    
         138 ,  0.304716706    
         139 ,  0.303527355    
         140 ,  0.302350521    
         141 ,  0.301186115    
         142 ,  0.300033718    
         143 ,  0.298893362    
         144 ,  0.297764719    
         145 ,  0.296647578    
         146 ,  0.295541853    
         147 ,  0.294447243    
         148 ,  0.293363720    
         149 ,  0.292290896    
         150 ,  0.291228741    
         151 ,  0.290177017    
         152 ,  0.289135665    
         153 ,  0.288104445    
         154 ,  0.287083179    
         155 ,  0.286071748    
         156 ,  0.285069972    
         157 ,  0.284077734    
         158 ,  0.283094913    
         159 ,  0.282121271    
         160 ,  0.281156778    
         161 ,  0.280201286    
         162 ,  0.279254496    
         163 ,  0.278316498    
         164 ,  0.277387053    
         165 ,  0.276466072    
         166 ,  0.275553435    
         167 ,  0.274648964    
         168 ,  0.273752540    
